_id,HAPPENED_TIME,SWING_TYPE,HAND_TYPE,SPIN,BALL_SPEED,HEAVINESS,POSITION_X,POSITION_Y,L_PLAY_SESSION_ID,IS_HIT_FRAME
43,02-19-2023 06:13:23 PM,SERVE,FH,2802.747314453125,118.75752258300781,310.2472839355469,9.0,7.0,21,1
44,02-19-2023 06:13:43 PM,TOPSPIN,BH,2709.836669921875,112.42059326171875,276.62469482421875,12.0,11.0,21,0
45,02-20-2023 04:13:31 PM,FLAT,FH,1117.26416015625,100.74888610839844,144.62400817871094,10.0,9.0,22,0
46,02-20-2023 04:13:57 PM,TOPSPIN,FH,1384.0482177734375,96.57481384277344,135.15689086914062,9.0,9.0,22,0
47,02-20-2023 04:14:04 PM,FLAT,FH,1149.52880859375,103.22411346435547,150.35084533691406,11.0,11.0,22,0
48,02-20-2023 04:14:11 PM,FLAT,FH,1004.1163940429688,88.76277923583984,118.09335327148438,10.0,10.0,22,0
49,02-20-2023 04:14:15 PM,FLAT,FH,1054.5177001953125,83.02059173583984,106.1092758178711,10.0,9.0,22,0
50,02-20-2023 04:14:46 PM,FLAT,BH,1065.128173828125,67.42939758300781,76.07025909423828,10.0,8.0,22,0
51,02-20-2023 04:14:58 PM,FLAT,BH,1104.6060791015625,54.417503356933594,53.980613708496094,10.0,9.0,22,0
52,02-20-2023 04:14:59 PM,FLAT,BH,886.91650390625,62.66499710083008,67.6543960571289,10.0,10.0,22,0
53,02-20-2023 04:15:00 PM,FLAT,BH,1081.2247314453125,53.64133071899414,52.75398254394531,10.0,9.0,22,0
54,02-20-2023 04:15:03 PM,FLAT,BH,1106.08349609375,54.13478469848633,53.5325927734375,10.0,9.0,22,0
55,02-20-2023 04:15:06 PM,FLAT,BH,1044.8548583984375,59.3264274597168,61.980224609375,10.0,8.0,22,0
56,02-20-2023 04:15:07 PM,FLAT,BH,1180.896240234375,53.10215759277344,51.908145904541016,10.0,10.0,22,0
57,02-21-2023 10:52:49 PM,VOLLEY,FH,1374.675048828125,55.519493103027344,55.740238189697266,12.0,10.0,0,0
58,02-22-2023 01:36:10 PM,SERVE,FH,2766.78125,116.03995513916016,295.8931579589844,6.0,11.0,23,1
59,02-22-2023 01:36:31 PM,SERVE,FH,3300.220458984375,98.83904266357422,263.57427978515625,8.0,12.0,23,0
60,02-22-2023 01:37:12 PM,SERVE,FH,2751.626220703125,117.68972778320312,301.32574462890625,6.0,10.0,23,1
61,02-22-2023 01:37:28 PM,SERVE,FH,3267.166748046875,102.97023010253906,279.1635437011719,11.0,12.0,23,0
62,02-22-2023 01:38:11 PM,SERVE,FH,3139.518310546875,110.41302490234375,302.34716796875,9.0,10.0,23,0
